Repository,Repository_owner,Repository_fullname,Is_fork,Parent,Stars,Watchers,Forks,Description,Language,Languages,Topic,Contributors,Open_issues,Open_pull_requests,License,Created,Last_update
animate.css,animate-css,animate-css/animate.css,False,,77545,2270,16408,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,CSS,"['CSS', 'HTML', 'JavaScript', 'Shell']","['animation', 'css', 'css-animations', 'stylesheets']",114,53,27,LICENSE,2011-10-12 10:07:38,2023-04-13 10:37:00
thefuck,nvbn,nvbn/thefuck,False,,76863,835,3346,Magnificent app which corrects your previous console command.,Python,"['Python', 'Dockerfile', 'Shell']","['python', 'shell']",168,285,72,LICENSE.md,2015-04-08 15:08:04,2023-04-13 11:21:27
models,tensorflow,tensorflow/models,False,,75607,2787,46215,Models and examples built with TensorFlow,Jupyter Notebook,"['Jupyter Notebook', 'Python', 'C++', 'Shell', 'Starlark', 'Dockerfile']",[],371,1209,171,LICENSE,2016-02-05 01:15:20,2023-04-13 11:31:21
realworld,gothinkster,gothinkster/realworld,False,,73903,1561,6873,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",TypeScript,"['TypeScript', 'CSS', 'HTML', 'JavaScript', 'Shell']",[],75,66,15,LICENSE,2016-02-26 20:49:53,2023-04-13 10:57:06
Font-Awesome,FortAwesome,FortAwesome/Font-Awesome,False,,71258,1383,12381,"The iconic SVG, font, and CSS toolkit",JavaScript,"['JavaScript', 'SCSS', 'CSS', 'Less']","['css', 'font', 'fontawesome', 'icons', 'svg-icons', 'svg-sprites', 'webfont']",3,5343,30,LICENSE.txt,2012-02-17 14:19:43,2023-04-13 11:23:57
every-programmer-should-know,mtdvio,mtdvio/every-programmer-should-know,False,,70275,2009,6723,A collection of (mostly) technical things every software developer should know about,,[],"['cc-by', 'collection', 'computer-science', 'educational', 'novice']",78,44,20,LICENSE,2017-08-24 13:18:26,2023-04-13 11:43:54
django,django,django/django,False,,69828,2262,29032,The Web framework for perfectionists with deadlines.,Python,"['Python', 'HTML', 'JavaScript', 'CSS', 'Shell', 'Smarty', 'Makefile', 'Procfile']","['apps', 'django', 'framework', 'models', 'orm', 'python', 'templates', 'views', 'web']",395,150,144,LICENSE,2012-04-28 02:47:18,2023-04-13 11:25:03
FiraCode,tonsky,tonsky/FiraCode,False,,69590,703,2974,Free monospaced font with programming ligatures,Clojure,"['Clojure', 'Shell', 'Python', 'HTML', 'CSS', 'PureBasic', 'Dockerfile', 'Makefile']","['font', 'ligatures', 'programming-ligatures']",109,361,4,LICENSE,2014-11-11 19:32:38,2023-04-13 11:52:57
advanced-java,doocs,doocs/advanced-java,False,,69544,2613,18204,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,Java,"['Java', 'JavaScript']","['advanced-java', 'distributed-search-engine', 'distributed-systems', 'doocs', 'dubbo', 'elasticsearch', 'eureka', 'feign', 'high-availability', 'high-concurrency', 'hystrix', 'java', 'message-queue', 'microservices-architecture', 'redis', 'ribbon', 'rpc', 'spring-cloud', 'springcloud-config', 'zookeeper']",36,2,0,LICENSE,2018-10-06 11:38:30,2023-04-13 11:29:26
bitcoin,bitcoin,bitcoin/bitcoin,False,,69039,3932,34056,Bitcoin Core integration/staging tree,C++,"['C++', 'Python', 'C', 'M4', 'Shell', 'Makefile', 'Sage', 'CMake', 'Assembly', 'Scheme', 'HTML', 'Objective-C++', 'Dockerfile', ""Cap'n Proto"", 'Java', 'QMake', 'Batchfile']","['bitcoin', 'c-plus-plus', 'cryptocurrency', 'cryptography', 'p2p']",350,684,315,COPYING,2010-12-19 15:16:43,2023-04-13 10:57:01
Web-Dev-For-Beginners,microsoft,microsoft/Web-Dev-For-Beginners,False,,68685,2561,10759,"24 Lessons, 12 Weeks, Get Started as a Web Developer",JavaScript,"['JavaScript', 'HTML', 'CSS', 'Vue']","['css', 'curriculum', 'education', 'html', 'javascript', 'learning', 'tutorials']",202,66,55,LICENSE,2020-11-10 02:44:00,2023-04-13 11:59:15
